
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Dambovita, Anul 1991, Numar persoane, 6457
Total, Dambovita, Anul 1992, Numar persoane, 6682
Total, Dambovita, Anul 1993, Numar persoane, 6790
Total, Dambovita, Anul 1994, Numar persoane, 6651
Total, Dambovita, Anul 1995, Numar persoane, 6979
Total, Dambovita, Anul 1996, Numar persoane, 7233
Total, Dambovita, Anul 1997, Numar persoane, 7125
Total, Dambovita, Anul 1998, Numar persoane, 6811
Total, Dambovita, Anul 1999, Numar persoane, 6576
Total, Dambovita, Anul 2000, Numar persoane, 6357
Total, Dambovita, Anul 2001, Numar persoane, 6439
Total, Dambovita, Anul 2002, Numar persoane, 6814
Total, Dambovita, Anul 2003, Numar persoane, 6689
Total, Dambovita, Anul 2004, Numar persoane, 6315
Total, Dambovita, Anul 2005, Numar persoane, 6681
Total, Dambovita, Anul 2006, Numar persoane, 6494
Total, Dambovita, Anul 2007, Numar persoane, 6214
Total, Dambovita, Anul 2008, Numar persoane, 6372
Total, Dambovita, Anul 2009, Numar persoane, 6343
Total, Dambovita, Anul 2010, Numar persoane, 6416
Total, Dambovita, Anul 2011, Numar persoane, 6108
Total, Dambovita, Anul 2012, Numar persoane, 6263
Total, Dambovita, Anul 2013, Numar persoane, 6362
Total, Dambovita, Anul 2014, Numar persoane, 6276
Total, Dambovita, Anul 2015, Numar persoane, 6311
Total, Dambovita, Anul 2016, Numar persoane, 6331
Total, Giurgiu, Anul 1990, Numar persoane, 4540
Total, Giurgiu, Anul 1991, Numar persoane, 4510
Total, Giurgiu, Anul 1992, Numar persoane, 4794
Total, Giurgiu, Anul 1993, Numar persoane, 4813
Total, Giurgiu, Anul 1994, Numar persoane, 4783
Total, Giurgiu, Anul 1995, Numar persoane, 5070
Total, Giurgiu, Anul 1996, Numar persoane, 5392
Total, Giurgiu, Anul 1997, Numar persoane, 5050
Total, Giurgiu, Anul 1998, Numar persoane, 4694
Total, Giurgiu, Anul 1999, Numar persoane, 4768
Total, Giurgiu, Anul 2000, Numar persoane, 4342
Total, Giurgiu, Anul 2001, Numar persoane, 4595
Total, Giurgiu, Anul 2002, Numar persoane, 4756
Total, Giurgiu, Anul 2003, Numar persoane, 4967
Total, Giurgiu, Anul 2004, Numar persoane, 4581
Total, Giurgiu, Anul 2005, Numar persoane, 4507
Total, Giurgiu, Anul 2006, Numar persoane, 4531
Total, Giurgiu, Anul 2007, Numar persoane, 4454
Total, Giurgiu, Anul 2008, Numar persoane, 4447
Total, Giurgiu, Anul 2009, Numar persoane, 4609
Total, Giurgiu, Anul 2010, Numar persoane, 4538
Total, Giurgiu, Anul 2011, Numar persoane, 4273
Total, Giurgiu, Anul 2012, Numar persoane, 4419
Total, Giurgiu, Anul 2013, Numar persoane, 4274
Total, Giurgiu, Anul 2014, Numar persoane, 4229
Total, Giurgiu, Anul 2015, Numar persoane, 4167
Total, Giurgiu, Anul 2016, Numar persoane, 4233
Total, Ialomita, Anul 1990, Numar persoane, 3549
Total, Ialomita, Anul 1991, Numar persoane, 3446
Total, Ialomita, Anul 1992, Numar persoane, 3765
Total, Ialomita, Anul 1993, Numar persoane, 3660
Total, Ialomita, Anul 1994, Numar persoane, 3749
Total, Ialomita, Anul 1995, Numar persoane, 3941
Total, Ialomita, Anul 1996, Numar persoane, 4104
Total, Ialomita, Anul 1997, Numar persoane, 3910
Total, Ialomita, Anul 1998, Numar persoane, 3974
Total, Ialomita, Anul 1999, Numar persoane, 3709
Total, Ialomita, Anul 2000, Numar persoane, 3673
Total, Ialomita, Anul 2001, Numar persoane, 3690
Total, Ialomita, Anul 2002, Numar persoane, 3790
Total, Ialomita, Anul 2003, Numar persoane, 3911
Total, Ialomita, Anul 2004, Numar persoane, 3764
Total, Ialomita, Anul 2005, Numar persoane, 3660
Total, Ialomita, Anul 2006, Numar persoane, 3596
Total, Ialomita, Anul 2007, Numar persoane, 3674
Total, Ialomita, Anul 2008, Numar persoane, 3835
Total, Ialomita, Anul 2009, Numar persoane, 3787
Total, Ialomita, Anul 2010, Numar persoane, 3828
Total, Ialomita, Anul 2011, Numar persoane, 3893
Total, Ialomita, Anul 2012, Numar persoane, 3864
Total, Ialomita, Anul 2013, Numar persoane, 3695
Total, Ialomita, Anul 2014, Numar persoane, 3911
Total, Ialomita, Anul 2015, Numar persoane, 3822
Total, Ialomita, Anul 2016, Numar persoane, 3896
Total, Prahova, Anul 1990, Numar persoane, 9310
Total, Prahova, Anul 1991, Numar persoane, 9491
Total, Prahova, Anul 1992, Numar persoane, 10029
Total, Prahova, Anul 1993, Numar persoane, 10032
Total, Prahova, Anul 1994, Numar persoane, 9958
Total, Prahova, Anul 1995, Numar persoane, 10155
Total, Prahova, Anul 1996, Numar persoane, 10824
Total, Prahova, Anul 1997, Numar persoane, 10641
Total, Prahova, Anul 1998, Numar persoane, 10126
Total, Prahova, Anul 1999, Numar persoane, 10248
Total, Prahova, Anul 2000, Numar persoane, 9776
Total, Prahova, Anul 2001, Numar persoane, 9926
Total, Prahova, Anul 2002, Numar persoane, 10446
Total, Prahova, Anul 2003, Numar persoane, 10283
Total, Prahova, Anul 2004, Numar persoane, 9793
Total, Prahova, Anul 2005, Numar persoane, 10187
Total, Prahova, Anul 2006, Numar persoane, 10101
Total, Prahova, Anul 2007, Numar persoane, 9612
Total, Prahova, Anul 2008, Numar persoane, 9772
Total, Prahova, Anul 2009, Numar persoane, 10114
Total, Prahova, Anul 2010, Numar persoane, 9964
Total, Prahova, Anul 2011, Numar persoane, 9784
Total, Prahova, Anul 2012, Numar persoane, 10164
Total, Prahova, Anul 2013, Numar persoane, 9816
Total, Prahova, Anul 2014, Numar persoane, 9834
Total, Prahova, Anul 2015, Numar persoane, 10371
Total, Prahova, Anul 2016, Numar persoane, 10447
Total, Teleorman, Anul 1990, Numar persoane, 6792
Total, Teleorman, Anul 1991, Numar persoane, 7179
Total, Teleorman, Anul 1992, Numar persoane, 7592
Total, Teleorman, Anul 1993, Numar persoane, 7367
Total, Teleorman, Anul 1994, Numar persoane, 7288
Total, Teleorman, Anul 1995, Numar persoane, 7426
Total, Teleorman, Anul 1996, Numar persoane, 8309
Total, Teleorman, Anul 1997, Numar persoane, 7978
Total, Teleorman, Anul 1998, Numar persoane, 7740
Total, Teleorman, Anul 1999, Numar persoane, 7563
Total, Teleorman, Anul 2000, Numar persoane, 7141
Total, Teleorman, Anul 2001, Numar persoane, 7281
Total, Teleorman, Anul 2002, Numar persoane, 7965
Total, Teleorman, Anul 2003, Numar persoane, 7829
Total, Teleorman, Anul 2004, Numar persoane, 7106
Total, Teleorman, Anul 2005, Numar persoane, 7515
Total, Teleorman, Anul 2006, Numar persoane, 7068
Total, Teleorman, Anul 2007, Numar persoane, 6793
Total, Teleorman, Anul 2008, Numar persoane, 6871
Total, Teleorman, Anul 2009, Numar persoane, 7130
Total, Teleorman, Anul 2010, Numar persoane, 6877
Total, Teleorman, Anul 2011, Numar persoane, 6840
Total, Teleorman, Anul 2012, Numar persoane, 6897
Total, Teleorman, Anul 2013, Numar persoane, 6384
Total, Teleorman, Anul 2014, Numar persoane, 6757
Total, Teleorman, Anul 2015, Numar persoane, 6633
Total, Teleorman, Anul 2016, Numar persoane, 6598
Total, Regiunea BUCURESTI - ILFOV, Anul 1990, Numar persoane, 24102
Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Numar persoane, 24754
Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Numar persoane, 25934
Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Numar persoane, 26180
Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Numar persoane, 25901
Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Numar persoane, 26829
Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Numar persoane, 28141
Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Numar persoane, 27206
Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Numar persoane, 26100
Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Numar persoane, 25542
Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Numar persoane, 25097
Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Numar persoane, 24929
Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Numar persoane, 25389
Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Numar persoane, 25104
Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Numar persoane, 24182
Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Numar persoane, 25537
Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Numar persoane, 25409
Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Numar persoane, 25114
Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Numar persoane, 24534
Total, Regiunea BUCURESTI - ILFOV, Anul 2009, Numar persoane, 24596
Total, Regiunea BUCURESTI - ILFOV, Anul 2010, Numar persoane, 24846
Total, Regiunea BUCURESTI - ILFOV, Anul 2011, Numar persoane, 24722
Total, Regiunea BUCURESTI - ILFOV, Anul 2012, Numar persoane, 25578
Total, Regiunea BUCURESTI - ILFOV, Anul 2013, Numar persoane, 24577
Total, Regiunea BUCURESTI - ILFOV, Anul 2014, Numar persoane, 25200
Total, Regiunea BUCURESTI - ILFOV, Anul 2015, Numar persoane, 26029
Total, Regiunea BUCURESTI - ILFOV, Anul 2016, Numar persoane, 26060
Total, Ilfov, Anul 1990, Numar persoane, 3213
Total, Ilfov, Anul 1991, Numar persoane, 3235
Total, Ilfov, Anul 1992, Numar persoane, 3335
Total, Ilfov, Anul 1993, Numar persoane, 3438
Total, Ilfov, Anul 1994, Numar persoane, 3503
Total, Ilfov, Anul 1995, Numar persoane, 3646
Total, Ilfov, Anul 1996, Numar persoane, 3981
Total, Ilfov, Anul 1997, Numar persoane, 3695
Total, Ilfov, Anul 1998, Numar persoane, 3541
Total, Ilfov, Anul 1999, Numar persoane, 3382
Total, Ilfov, Anul 2000, Numar persoane, 3266
Total, Ilfov, Anul 2001, Numar persoane, 3343
Total, Ilfov, Anul 2002, Numar persoane, 3527
Total, Ilfov, Anul 2003, Numar persoane, 3581
Total, Ilfov, Anul 2004, Numar persoane, 3361
Total, Ilfov, Anul 2005, Numar persoane, 3464
Total, Ilfov, Anul 2006, Numar persoane, 3460
Total, Ilfov, Anul 2007, Numar persoane, 3493
Total, Ilfov, Anul 2008, Numar persoane, 3508
Total, Ilfov, Anul 2009, Numar persoane, 3660
Total, Ilfov, Anul 2010, Numar persoane, 3574
Total, Ilfov, Anul 2011, Numar persoane, 3596
Total, Ilfov, Anul 2012, Numar persoane, 3816
Total, Ilfov, Anul 2013, Numar persoane, 3563
Total, Ilfov, Anul 2014, Numar persoane, 3760
Total, Ilfov, Anul 2015, Numar persoane, 3784
Total, Ilfov, Anul 2016, Numar persoane, 3918
Total, Municipiul Bucuresti, Anul 1990, Numar persoane, 20889
Total, Municipiul Bucuresti, Anul 1991, Numar persoane, 21519
Total, Municipiul Bucuresti, Anul 1992, Numar persoane, 22599
Total, Municipiul Bucuresti, Anul 1993, Numar persoane, 22742
Total, Municipiul Bucuresti, Anul 1994, Numar persoane, 22398
Total, Municipiul Bucuresti, Anul 1995, Numar persoane, 23183
Total, Municipiul Bucuresti, Anul 1996, Numar persoane, 24160
Total, Municipiul Bucuresti, Anul 1997, Numar persoane, 23511
Total, Municipiul Bucuresti, Anul 1998, Numar persoane, 22559
Total, Municipiul Bucuresti, Anul 1999, Numar persoane, 22160
Total, Municipiul Bucuresti, Anul 2000, Numar persoane, 21831
Total, Municipiul Bucuresti, Anul 2001, Numar persoane, 21586
Total, Municipiul Bucuresti, Anul 2002, Numar persoane, 21862
Total, Municipiul Bucuresti, Anul 2003, Numar persoane, 21523
Total, Municipiul Bucuresti, Anul 2004, Numar persoane, 20821
Total, Municipiul Bucuresti, Anul 2005, Numar persoane, 22073
Total, Municipiul Bucuresti, Anul 2006, Numar persoane, 21949
Total, Municipiul Bucuresti, Anul 2007, Numar persoane, 21621
Total, Municipiul Bucuresti, Anul 2008, Numar persoane, 21026
Total, Municipiul Bucuresti, Anul 2009, Numar persoane, 20936
Total, Municipiul Bucuresti, Anul 2010, Numar persoane, 21272
Total, Municipiul Bucuresti, Anul 2011, Numar persoane, 21126
Total, Municipiul Bucuresti, Anul 2012, Numar persoane, 21762
Total, Municipiul Bucuresti, Anul 2013, Numar persoane, 21014
Total, Municipiul Bucuresti, Anul 2014, Numar persoane, 21440
Total, Municipiul Bucuresti, Anul 2015, Numar persoane, 22245
Total, Municipiul Bucuresti, Anul 2016, Numar persoane, 22142
Total, MACROREGIUNEA PATRU, Anul 1990, Numar persoane, 55143
Total, MACROREGIUNEA PATRU, Anul 1991, Numar persoane, 55768
Total, MACROREGIUNEA PATRU, Anul 1992, Numar persoane, 58410
Total, MACROREGIUNEA PATRU, Anul 1993, Numar persoane, 57283
Total, MACROREGIUNEA PATRU, Anul 1994, Numar persoane, 57290
Total, MACROREGIUNEA PATRU, Anul 1995, Numar persoane, 58732
Total, MACROREGIUNEA PATRU, Anul 1996, Numar persoane, 61650
Total, MACROREGIUNEA PATRU, Anul 1997, Numar persoane, 60214
Total, MACROREGIUNEA PATRU, Anul 1998, Numar persoane, 58490
Total, MACROREGIUNEA PATRU, Anul 1999, Numar persoane, 57261
Total, MACROREGIUNEA PATRU, Anul 2000, Numar persoane, 53953
Total, MACROREGIUNEA PATRU, Anul 2001, Numar persoane, 54745
Total, MACROREGIUNEA PATRU, Anul 2002, Numar persoane, 57006
Total, MACROREGIUNEA PATRU, Anul 2003, Numar persoane, 56149
Total, MACROREGIUNEA PATRU, Anul 2004, Numar persoane, 55371
Total, MACROREGIUNEA PATRU, Anul 2005, Numar persoane, 56047
Total, MACROREGIUNEA PATRU, Anul 2006, Numar persoane, 54642
Total, MACROREGIUNEA PATRU, Anul 2007, Numar persoane, 52445
Total, MACROREGIUNEA PATRU, Anul 2008, Numar persoane, 52677
Total, MACROREGIUNEA PATRU, Anul 2009, Numar persoane, 53263
Total, MACROREGIUNEA PATRU, Anul 2010, Numar persoane, 53727
Total, MACROREGIUNEA PATRU, Anul 2011, Numar persoane, 51490
Total, MACROREGIUNEA PATRU, Anul 2012, Numar persoane, 51351
Total, MACROREGIUNEA PATRU, Anul 2013, Numar persoane, 50420
Total, MACROREGIUNEA PATRU, Anul 2014, Numar persoane, 51903
Total, MACROREGIUNEA PATRU, Anul 2015, Numar persoane, 52900
Total, MACROREGIUNEA PATRU, Anul 2016, Numar persoane, 50779
Total, Regiunea SUD-VEST OLTENIA, Anul 1990, Numar persoane, 29199
Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Numar persoane, 29444
Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 31048
Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 30367
Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 30528
Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 31686
Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 33657
Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 33024
Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 32213
Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 31313
Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 29327
Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 30151
Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 32107
Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 31074
Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 30348
Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 30969
Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 29858
Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 29083
Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 29315
Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 29355
Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 29663
Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 28272
Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 28339
Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 27364
Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 28500
Total, Regiunea SUD-VEST OLTENIA, Anul 2015, Numar persoane, 28572
Total, Regiunea SUD-VEST OLTENIA, Anul 2016, Numar persoane, 27215
Total, Dolj, Anul 1990, Numar persoane, 9530
Total, Dolj, Anul 1991, Numar persoane, 9572
Total, Dolj, Anul 1992, Numar persoane, 10315
Total, Dolj, Anul 1993, Numar persoane, 10130
Total, Dolj, Anul 1994, Numar persoane, 10109
Total, Dolj, Anul 1995, Numar persoane, 10411
Total, Dolj, Anul 1996, Numar persoane, 10912
Total, Dolj, Anul 1997, Numar persoane, 10877
Total, Dolj, Anul 1998, Numar persoane, 10345
Total, Dolj, Anul 1999, Numar persoane, 10365
Total, Dolj, Anul 2000, Numar persoane, 9521
Total, Dolj, Anul 2001, Numar persoane, 9990
Total, Dolj, Anul 2002, Numar persoane, 10730
Total, Dolj, Anul 2003, Numar persoane, 10415
Total, Dolj, Anul 2004, Numar persoane, 10055
Total, Dolj, Anul 2005, Numar persoane, 10188
Total, Dolj, Anul 2006, Numar persoane, 9952
Total, Dolj, Anul 2007, Numar persoane, 9710
Total, Dolj, Anul 2008, Numar persoane, 9742
Total, Dolj, Anul 2009, Numar persoane, 9864
Total, Dolj, Anul 2010, Numar persoane, 10008
Total, Dolj, Anul 2011, Numar persoane, 9567
Total, Dolj, Anul 2012, Numar persoane, 9543
Total, Dolj, Anul 2013, Numar persoane, 9278
Total, Dolj, Anul 2014, Numar persoane, 9603
Total, Dolj, Anul 2015, Numar persoane, 9990
Total, Dolj, Anul 2016, Numar persoane, 9403
Total, Gorj, Anul 1990, Numar persoane, 4208
Total, Gorj, Anul 1991, Numar persoane, 4181
Total, Gorj, Anul 1992, Numar persoane, 4321
Total, Gorj, Anul 1993, Numar persoane, 4227
Total, Gorj, Anul 1994, Numar persoane, 4360
Total, Gorj, Anul 1995, Numar persoane, 4507
Total, Gorj, Anul 1996, Numar persoane, 4840
Total, Gorj, Anul 1997, Numar persoane, 4810
Total, Gorj, Anul 1998, Numar persoane, 4565
Total, Gorj, Anul 1999, Numar persoane, 4456
Total, Gorj, Anul 2000, Numar persoane, 4255
Total, Gorj, Anul 2001, Numar persoane, 4328
Total, Gorj, Anul 2002, Numar persoane, 4378
Total, Gorj, Anul 2003, Numar persoane, 4325
Total, Gorj, Anul 2004, Numar persoane, 4396
Total, Gorj, Anul 2005, Numar persoane, 4280
Total, Gorj, Anul 2006, Numar persoane, 4137
Total, Gorj, Anul 2007, Numar persoane, 4040
Total, Gorj, Anul 2008, Numar persoane, 4031
Total, Gorj, Anul 2009, Numar persoane, 4181
Total, Gorj, Anul 2010, Numar persoane, 4292
Total, Gorj, Anul 2011, Numar persoane, 4118
Total, Gorj, Anul 2012, Numar persoane, 4157
Total, Gorj, Anul 2013, Numar persoane, 4049
Total, Gorj, Anul 2014, Numar persoane, 4278
Total, Gorj, Anul 2015, Numar persoane, 4200
Total, Gorj, Anul 2016, Numar persoane, 4070
Total, Mehedinti, Anul 1990, Numar persoane, 4352
Total, Mehedinti, Anul 1991, Numar persoane, 4362
Total, Mehedinti, Anul 1992, Numar persoane, 4406
Total, Mehedinti, Anul 1993, Numar persoane, 4503
Total, Mehedinti, Anul 1994, Numar persoane, 4547
Total, Mehedinti, Anul 1995, Numar persoane, 4648
Total, Mehedinti, Anul 1996, Numar persoane, 4683
Total, Mehedinti, Anul 1997, Numar persoane, 4497
Total, Mehedinti, Anul 1998, Numar persoane, 4513
Total, Mehedinti, Anul 1999, Numar persoane, 4377
Total, Mehedinti, Anul 2000, Numar persoane, 4174
Total, Mehedinti, Anul 2001, Numar persoane, 4161
Total, Mehedinti, Anul 2002, Numar persoane, 4282
Total, Mehedinti, Anul 2003, Numar persoane, 4315
Total, Mehedinti, Anul 2004, Numar persoane, 4238
Total, Mehedinti, Anul 2005, Numar persoane, 4346
Total, Mehedinti, Anul 2006, Numar persoane, 4146
Total, Mehedinti, Anul 2007, Numar persoane, 4169
Total, Mehedinti, Anul 2008, Numar persoane, 4147
Total, Mehedinti, Anul 2009, Numar persoane, 4074
Total, Mehedinti, Anul 2010, Numar persoane, 4175
Total, Mehedinti, Anul 2011, Numar persoane, 4044
Total, Mehedinti, Anul 2012, Numar persoane, 4019
Total, Mehedinti, Anul 2013, Numar persoane, 3772
